#   lon        lat
 -174.225    -39.586
  158.150    -32.129
  160.350    -25.639
  177.099    -34.364
  176.128    -33.995
  165.242    -17.006
  174.174    -20.551
  157.576    -17.226
  174.657    -17.046
  170.501    -16.275
 -167.756    -16.805
 -175.199     -8.113
  166.953     -6.978
 -171.976     -9.373
 -159.683    -11.035
  170.510    -10.301
  171.785    -10.978
 -176.264     -8.759
 -170.131     -7.111
 -174.580     -8.948
  159.390     -7.200
  161.222    -11.292
  161.228     -7.100
 -174.978    -11.825
  173.554     -7.465
  166.756     -9.350
  152.084    -10.489
  155.184     -8.552
  162.991    -16.719
  153.226     -4.821
  150.625    -43.842
  159.615    -30.769
  153.504    -42.025
  161.057    -38.185
  165.049    -38.787
  164.765    -44.625
  166.561    -35.356
  140.412     -2.291
 -127.101     34.679
 -148.851     12.219
 -171.941      7.805
 -173.084      1.235
 -148.378    -10.309
 -154.532    -40.027
 -151.360     -2.118
 -173.983     10.002
  175.021      9.615
 -167.070     -8.600
 -164.340      4.426
 -164.573     -8.125
 -151.888     -2.031
 -174.243     -0.506
 -147.179      8.139
  160.842    -48.631
  170.920     28.459
  155.361    -52.707
  148.572    -51.075
  158.728    -52.433
  166.689    -39.624
 -169.956     30.089
 -132.087     45.754
 -128.734     41.764
 -176.587     13.538
 -147.246     21.345
 -162.967     15.664
 -148.826     12.008
  150.392    -51.509
 -152.189     39.618
 -149.058     45.336
 -143.532     47.749
 -178.709     35.041
  150.322    -56.940
 -131.906     -0.278
 -101.713     -0.145
 -137.483      0.458
 -115.600      0.753
 -132.975     -0.321
 -136.237      0.228
 -145.256      1.179
 -144.595     -2.981
  136.428      0.893
 -165.697     -1.721
  144.083      1.525
  160.787      0.330
 -172.092     -0.278
  133.860      0.245
 -175.558      0.804
 -137.649     -0.404
  140.181     -1.620
  155.098      0.107
  171.474     -1.106
  177.981      0.283
  165.196      4.213
  162.602     -0.170
  159.062     -0.986
 -171.982     -1.407
  164.391     -0.350
  171.905      2.572
  153.483      1.513
 -162.669      2.439
 -157.684    -50.685
 -108.981    -55.240
  171.983      2.850
  151.868     -0.846
  154.011     -6.315
 -160.167    -47.802
 -168.859    -41.506
 -176.245    -38.549
 -178.511    -40.191
 -146.788    -13.131
 -134.525     -3.622
 -126.972     -5.723
 -110.394     -4.044
 -128.981      2.853
  165.384      6.591
  164.939      7.126
  178.855      0.456
 -152.313     -0.068
 -139.730     -3.125
 -176.654     -5.681
 -166.635     -3.637
 -166.372     -0.428
 -162.656      3.213
 -141.781      4.055
 -131.112      0.538
 -123.592      1.094
 -124.109      5.355
 -128.406     -1.937
 -139.822     -0.804
 -142.253     -0.292
 -140.493     -3.521
 -149.348    -11.011
 -153.110      0.560
 -146.241      1.811
 -147.425      2.339
 -117.001    -23.965
 -115.961    -18.783
 -121.777    -15.775
  -74.057    -25.819
  154.032    -51.339
  146.614    -57.495
 -150.275    -37.358
 -149.664    -35.139
 -142.995    -39.665
 -167.619    -39.595
 -164.288    -21.553
  179.648    -37.594
 -142.477    -15.729
 -169.075    -31.906
